Criterion,x[m],y[m],N[kN/m],M[kNm/m],w_k[mm]
max My,40.025,10.585,9.1,5.7,0.00633596377033659
max Ny,40.025,10.815,32.3,1.2,0
min My,40.025,10.815,13.1,-0.3,0
max My,40.025,10.815,26.8,2.5,0
max Ny,39.275,10.815,-15,-1.1,0
min My,39.275,10.815,-56.1,-3.3,0
max My,39.275,10.815,-28.9,-0.1,0
max Ny,40.575,7.603,14.8,-78.6,0.0670003052155088
min My,40.575,7.603,7.1,-99.1,0.0824306180494954
max My,40.575,7.603,-48.1,65.5,0.0454148046830946
max Ny,41.325,7.603,175.4,-79.5,0.0977012280168178
min My,41.325,7.603,170.4,-86.6,0.102419752310624
max My,41.325,7.603,-41.1,115,0.0870749739334733
max Ny,41.325,7.747,165,-70.5,0.0884875783376055
min My,41.325,7.747,161.6,-75.6,0.0918975834874735
max My,41.325,7.747,-56.2,101.4,0.0733765331812357
max Ny,40.575,7.747,21.7,-70.7,0.0617595369312345
min My,40.575,7.747,15.2,-87.3,0.0741967535835034
max My,40.575,7.747,-42.2,62.7,0.0441167807412135
max Ny,40.575,8.159,43.3,-49.7,0.048501263240065
min My,40.575,8.159,40.2,-57.2,0.054055304707028
max My,40.575,8.159,-33.5,54.6,0.0389636160006139
max Ny,41.325,8.159,144.6,-43.6,0.0632058549145842
min My,41.325,8.159,140.8,-46.8,0.064938280183087
max My,41.325,8.159,-53.7,62.6,0.042119331374697
max Ny,41.325,9.141,91.5,-9.8,0
min My,41.325,9.141,25.4,-14.3,0.0163859150267574
max My,41.325,9.141,23.8,14.5,0.0162416516809792
max Ny,40.575,9.141,35,-8.6,0.0137974794825638
min My,40.575,9.141,32.9,-16.2,0.0193571928521445
max My,40.575,9.141,-19.1,32.8,0.0235795371914676
max Ny,40.575,9.627,24.8,-3.2,0.0077826543783607
min My,40.575,9.627,22.6,-10,0.012394199260602
max My,40.575,9.627,-11.5,19.8,0.0142390347804373
max Ny,41.325,9.627,51.9,-6.8,0.0163353297204697
min My,41.325,9.627,19,-11.9,0.0132280473479212
max My,41.325,9.627,17.5,9.9,0.0113278920889074
max Ny,41.325,9.973,43.6,-4.3,0
min My,41.325,9.973,9.5,-8.6,0.00876395419746312
max My,41.325,9.973,13.4,8.2,0.00917363955939087
max Ny,40.575,9.973,16.2,0.9,0
min My,40.575,9.973,13.8,-4.3,0.00614031341554793
max My,40.575,9.973,-7.4,14.6,0.0106823400375617
max Ny,40.575,10.185,17,1.3,0
min My,40.575,10.185,15.5,-3.1,0.00558286548983799
max My,40.575,10.185,-4.3,10.3,0.00769294898076332
max Ny,41.325,10.185,17.4,-4.5,0.0070301808291224
min My,41.325,10.185,5.4,-8.1,0.00760134186957201
max My,41.325,10.185,0.6,5.3,0.00444736921295741
max Ny,41.325,10.415,10.6,-0.8,0
min My,41.325,10.415,2.7,-3.5,0.00335147903965461
max My,41.325,10.415,-2.7,3.5,0.0024051045698122
max Ny,40.575,10.415,14.4,1.9,0.00453888481915321
min My,40.575,10.415,13.1,-1.2,0
max My,40.575,10.415,-1.3,6.9,0.00542562233316069
max Ny,40.575,10.585,-4.3,1.1,0.000272012561413722
min My,40.575,10.585,-18.7,-0.5,0
max My,40.575,10.585,-6.5,2.9,0.00132809034144183
max Ny,41.325,10.585,20.8,-1,0
min My,41.325,10.585,6.5,-2.3,0.00310750372682915
max My,41.325,10.585,12.7,2.3,0.00440229949031113
max Ny,41.325,10.815,16,0.4,0
min My,41.325,10.815,4.2,-0.2,0
max My,41.325,10.815,13.1,1,0
max Ny,40.575,10.815,-4,-0.1,0
min My,40.575,10.815,-17.9,-0.9,0
max My,40.575,10.815,-8.2,0.7,0
max Ny,41.685,7.603,283.1,-73.8,0.114828388582982
min My,41.685,7.603,276.3,-83.2,0.120687225997383
max My,41.685,7.603,-42.3,155.2,0.119778306506506
max Ny,41.915,7.603,230.3,-74.3,0.104455570006645
min My,41.915,7.603,220.4,-86.5,0.112098620346173
max My,41.915,7.603,-138.1,186.8,0.129364720947079
max Ny,41.915,7.747,264.2,-56.3,0.0976970677427843
min My,41.915,7.747,250.5,-68.9,0.104365648637408
max My,41.915,7.747,-114.7,143.1,0.0976177536947448
max Ny,41.685,7.747,271.8,-64.3,0.105269266237631
min My,41.685,7.747,264.9,-70.9,0.108858638120514
max My,41.685,7.747,-67.3,130.7,0.0954498608714146
max Ny,41.685,8.159,222.5,-37.6,0.0752525926919475
min My,41.685,8.159,217.2,-40.1,0.0758306592806969
max My,41.685,8.159,-92.6,66.6,0.0390715726344036
max Ny,41.915,8.159,300.2,-33.4,0
min My,41.915,8.159,294,-35.3,0
max My,41.915,8.159,-168.3,69.2,0.0298153486654155
max Ny,41.915,9.141,113.7,-12.2,0
min My,41.915,9.141,36.9,-29.9,0.031192243228069
max My,41.915,9.141,79.4,5.7,0
max Ny,41.685,9.141,121.2,-9.1,0
min My,41.685,9.141,29.8,-18.6,0.0206952632154996
max My,41.685,9.141,53.3,8.3,0.0175534120322988
max Ny,41.685,9.627,73.1,-9.9,0.0231738935950682
min My,41.685,9.627,18.7,-17.5,0.0177162734897175
max My,41.685,9.627,31.2,7.2,0.0119478086498383
max Ny,41.915,9.627,137.4,-8.3,0
min My,41.915,9.627,5.5,-18,0.0157193642810875
max My,41.915,9.627,59.8,12.4,0.0218605092240314
max Ny,41.915,9.973,48.2,-20.8,0.0260128664019971
min My,41.915,9.973,31.9,-23.9,0.0253839203919317
max My,41.915,9.973,-30.5,2.2,0
max Ny,41.685,9.973,40.9,-11.6,0.0173103367822101
min My,41.685,9.973,14.3,-15.8,0.0155173453759848
max My,41.685,9.973,5.6,3.3,0.00373135578045392
max Ny,41.685,10.185,55.5,-6.7,0
min My,41.685,10.185,37.5,-10.4,0.0156895318759476
max My,41.685,10.185,-9.5,3.7,0.00152449918835989
max Ny,41.915,10.185,49.1,-6.5,0.015487139200699
min My,41.915,10.185,-10.9,-13.1,0.0088700006375178
max My,41.915,10.185,32.4,3.2,0
max Ny,41.915,10.415,15.2,-2,0.00478828923150163
min My,41.915,10.415,-4.1,-19.1,0.0149318541905585
max My,41.915,10.415,9.4,2,0.00347368303733675
max Ny,41.685,10.415,36.1,-6.1,0.0122091833024414
min My,41.685,10.415,26.7,-8.5,0.0120210000364816
max My,41.685,10.415,-5.2,2.5,0.0012035624359923
max Ny,41.685,10.585,-1.1,-1.1,0.000714392248603697
min My,41.685,10.585,-15.8,-4.4,0.00124302246445822
max My,41.685,10.585,-4.9,0.7,2.58523535626257E-05
max Ny,41.915,10.585,30.5,0.1,0
min My,41.915,10.585,-3.2,-3.8,0.00256665339082853
max My,41.915,10.585,12.5,2.4,0.00442999531653625
max Ny,41.915,10.815,13,1.9,0.00420237263627688
min My,41.915,10.815,-8.9,-0.8,0
max My,41.915,10.815,12.5,2,0.00415184450166357
max Ny,41.685,10.815,-3.2,-0.5,3.06476200165145E-05
min My,41.685,10.815,-20.3,-1.9,0
max My,41.685,10.815,-7.3,-0.1,0
max Ny,42.127,7.603,288.3,-77.6,0.118810023624563
min My,42.127,7.603,275.9,-90.3,0.12614639012712
max My,42.127,7.603,-210.8,220.7,0.152204411595723
max Ny,42.473,7.603,1014.1,-101.6,0
min My,42.473,7.603,986.8,-109.5,0
max My,42.473,7.603,-1117.7,362.3,0.135868452796775
max Ny,42.473,7.747,960.2,-58.1,0
min My,42.473,7.747,943.6,-61.9,0
max My,42.473,7.747,-1139.8,248.8,0.0451648080027733
max Ny,42.127,7.747,312.8,-54.5,0.106924471151734
min My,42.127,7.747,298.9,-64.6,0.111198278471008
max My,42.127,7.747,-173.9,155.9,0.0983192082339231
max Ny,42.127,8.159,336.5,-28,0
min My,42.127,8.159,326.4,-30.5,0
max My,42.127,8.159,-186.8,65.3,0.0243285766398802
max Ny,42.473,8.159,295.3,-4.9,0
min My,42.473,8.159,205.4,-13,0
max My,42.473,8.159,54.4,18.9,0.0257324547221352
max Ny,42.473,9.141,261.9,-0.1,0
min My,42.473,9.141,-30,-38.6,0.0264877641601258
max My,42.473,9.141,213.3,13.2,0
max Ny,42.127,9.141,162.2,-8.6,0
min My,42.127,9.141,-2.8,-32,0.0257241275782756
max My,42.127,9.141,125.3,6.2,0
max Ny,42.127,9.627,77.8,-16.1,0.0284167955730797
min My,42.127,9.627,19.6,-23.9,0.0230989531080712
max My,42.127,9.627,46.9,2.1,0
max Ny,42.473,9.627,41.7,-26.6,0.0294221753549645
min My,42.473,9.627,-22.8,-44,0.0321087297084266
max My,42.473,9.627,13.5,-10.4,0.0109741332174752
max Ny,42.473,9.973,118.3,-16.8,0.0379456410024312
min My,42.473,9.973,34.8,-41.9,0.0405761428029153
max My,42.473,9.973,66.7,14.6,0.0249508320829654
max Ny,42.127,9.973,33.5,-20.2,0.0226918685063538
min My,42.127,9.973,7.3,-28.9,0.0249653189322768
max My,42.127,9.973,22.4,-0.3,0
max Ny,42.127,10.185,67.2,-11.6,0.0228958475950119
min My,42.127,10.185,-20.1,-21.8,0.0144368606641429
max My,42.127,10.185,42.8,2.7,0
max Ny,42.473,10.185,101,-6.6,0
min My,42.473,10.185,-113.3,-68.9,0.0376887020195537
max My,42.473,10.185,55.2,-1.1,0
max Ny,42.473,10.415,40.9,-0.8,0
min My,42.473,10.415,-52.4,-23.7,0.0109576269194582
max My,42.473,10.415,17.9,1.3,0
max Ny,42.127,10.415,37.3,-9.5,0.0149586592956336
min My,42.127,10.415,-0.4,-15.9,0.0129550254916192
max My,42.127,10.415,16.4,2.1,0.00513953747167946
max Ny,42.127,10.585,15.4,0,0
min My,42.127,10.585,-9,-11.2,0.00763645883309824
max My,42.127,10.585,9.6,1.7,0.00330063454318889
max Ny,42.473,10.585,9.4,-1,0
min My,42.473,10.585,-15.8,-10.7,0.00613202413813209
max My,42.473,10.585,2.6,0.7,0.00107160749357407
max Ny,42.473,10.815,2.8,0.1,0
min My,42.473,10.815,-2.8,-0.8,0.000234425933624346
max My,42.473,10.815,1.8,0.7,0.000910396888269344
max Ny,42.127,10.815,11.8,0.8,0
min My,42.127,10.815,-11,-3.7,0.00132431621173686
max My,42.127,10.815,10,1.1,0
