Criterion,x[m],y[m],N[kN/m],M[kNm/m],w_k[mm]
max Ny,23.894,10.415,25.8,-7.1,0.0107518941340503
min My,23.894,10.415,23.1,-18.1,0.0190250863463845
max My,23.894,10.415,-127.6,298.7,0.277877519035593
max Ny,23.606,10.415,-56.7,32.7,0.0174379067027317
min My,23.606,10.415,-185.4,7.9,0
max My,23.606,10.415,-139.6,60.4,0.0270562150637309
max Ny,23.606,10.585,-92.2,-11.9,0.000165005028571281
min My,23.606,10.585,-117.7,-28,0.00607615979593152
max My,23.606,10.585,-378.3,43.3,0
max Ny,23.894,10.585,112.2,189.6,0.192504378350221
min My,23.894,10.585,-5.3,66.4,0.0534666031993808
max My,23.894,10.585,97.7,229,0.242876738207223
max Ny,23.894,10.815,125.1,1.3,0
min My,23.894,10.815,72.9,-19,0.0295659958113453
max My,23.894,10.815,57.6,25.5,0.0315993522222826
max Ny,23.606,10.815,-50.8,-20.8,0.00893201303358308
min My,23.606,10.815,-79.5,-38,0.0182266526494895
max My,23.606,10.815,-350.1,10.6,0
max Ny,24.127,7.603,132.2,-184.4,0.19072222384603
min My,24.127,7.603,127.9,-200.5,0.21182157829777
max My,24.127,7.603,-11.1,123.8,0.0994735312685521
max Ny,24.473,7.603,138.6,-140,0.139691151169958
min My,24.473,7.603,134.4,-152.1,0.14877856222169
max My,24.473,7.603,-39.6,126.7,0.0969099134866607
max Ny,24.473,7.747,131.8,-112.8,0.116290922377802
min My,24.473,7.747,127.5,-123.8,0.124441398476039
max My,24.473,7.747,-24.6,125,0.0981083238691317
max Ny,24.127,7.747,93.4,-158.3,0.146349444179401
min My,24.127,7.747,89.9,-169.8,0.159175956300357
max My,24.127,7.747,-21,116.7,0.091935008741241
max Ny,24.127,8.159,80.2,-77.9,0.0782983683072318
min My,24.127,8.159,77.7,-83.8,0.0826429935520475
max My,24.127,8.159,-13.1,100.6,0.0801211221058605
max Ny,24.473,8.159,44.2,-35.3,0.0369446442559491
min My,24.473,8.159,23.4,-90.2,0.0780291522100358
max My,24.473,8.159,-11.4,104.5,0.0836118042382023
max Ny,24.473,9.141,47.9,-1.2,0
min My,24.473,9.141,18.8,-17,0.0173279890723561
max My,24.473,9.141,11.1,39.9,0.0346497383367413
max Ny,24.127,9.141,26.2,1.7,0
min My,24.127,9.141,11.2,-22.4,0.0203440655192482
max My,24.127,9.141,-8.6,38.5,0.0300401480366368
max Ny,24.127,9.627,36.2,-7,0.0128649612568372
min My,24.127,9.627,-8.8,-30.6,0.0235367872056447
max My,24.127,9.627,-5.4,2.7,0.00133171661363661
max Ny,24.473,9.627,8.8,-5.3,0.00595578859325464
min My,24.473,9.627,-41.5,-32.7,0.0198140348825305
max My,24.473,9.627,5.3,-0.4,0
max Ny,24.473,9.973,-9.8,1.9,0.000255840390743052
min My,24.473,9.973,-38.7,-15.1,0.00623128044817423
max My,24.473,9.973,-59.8,28.9,0.0139590252186537
max Ny,24.127,9.973,10.4,-14,0.0133327412078768
min My,24.127,9.973,-69.8,-24.6,0.00924050737736637
max My,24.127,9.973,1.5,22.8,0.0189413407290088
max Ny,24.127,10.185,30.7,6.4,0.0112477515348687
min My,24.127,10.185,14.4,-42.8,0.0376135435146427
max My,24.127,10.185,-20.2,65.7,0.050309974456655
max Ny,24.473,10.185,-8.5,17.8,0.0131123771176507
min My,24.473,10.185,-77.4,1.7,0
max My,24.473,10.185,-25.2,41.2,0.0294143255907862
max Ny,24.473,10.415,89.1,72.3,0.0754010663281075
min My,24.473,10.415,-61,16.5,0.00446294212001956
max My,24.473,10.415,82.8,73.7,0.0753632112221784
max Ny,24.127,10.415,61.8,169.7,0.151641799045287
min My,24.127,10.415,39,-6.5,0.0131285508715714
max My,24.127,10.415,30.6,321,0.350638483475984
max Ny,24.127,10.585,4.4,156,0.128566852231537
min My,24.127,10.585,-50.3,62,0.0421937792669207
max My,24.127,10.585,-4.8,211.8,0.191936264358199
max Ny,24.473,10.585,167.5,61,0.0814429712378775
min My,24.473,10.585,73.3,-4.2,0
max My,24.473,10.585,147.8,84.5,0.0963873437424533
max Ny,24.473,10.815,129.6,36.2,0.0544215461630233
min My,24.473,10.815,25.5,-18.8,0.020043828253205
max My,24.473,10.815,119.4,48.3,0.0618712226496188
max Ny,24.127,10.815,-4,-10.9,0.00823528520146863
min My,24.127,10.815,-45,-36.5,0.0223282856883091
max My,24.127,10.815,-22.1,-3.2,0.000129130438573559
max Ny,24.854,7.603,67.5,-115.6,0.106744926615351
min My,24.854,7.603,61.7,-136,0.122381610987051
max My,24.854,7.603,-15.6,142,0.113597025112484
max Ny,25.546,7.603,211,58.1,0.0879584097600281
min My,25.546,7.603,157.2,-81,0.0953760411923315
max My,25.546,7.603,146.5,179.4,0.187676777322732
max Ny,25.546,7.747,194,49.9,0.0781745444050741
min My,25.546,7.747,143.6,-76.7,0.0893011449603833
max My,25.546,7.747,131.3,161.8,0.159123103445145
