    Structural element	 Node	Local number	                 X [m]	                 Y [m]	              N [kN/m]	          N_min [kN/m]	         N_max [kN/m]	              Q [kN/m]	          Q_min [kN/m]	         Q_max [kN/m]	            M [kN m/m]	        M_min [kN m/m]	       M_max [kN m/m]
                      	 8800	           5	 7,50000000000000E+000	-2,00000000000000E+000	-4,76263153783703E+001	-4,76263153783703E+001	3,11397638328973E-005	 2,52442433232506E+001	-1,09463170564201E-005	6,35643991314412E+001	-1,73855824493528E+002	-1,73982905045210E+002	1,95748346838799E+002
           Plate\_1\_4	   66	           1	-7,50000000000000E+000	-2,00000000000000E+000	-4,80545356912311E+001	-4,80545356912311E+001	3,14815377162033E-005	-2,52113010370373E+001	-6,31769530209444E+001	1,66080098747388E-005	 1,74029628787953E+002	-1,97375489600717E+002	1,74112694409208E+002
 Element 10-18 (Plate)	   69	           2	-7,50000000000000E+000	-2,12500000000000E+000	-4,86898559670749E+001	-4,86898559670749E+001	3,23747110471971E-005	-3,12862233499777E+001	-5,99876046557271E+001	6,92001531439694E-005	 1,70501204553454E+002	-2,03095341504470E+002	1,70590168608276E+002
                (ERSS)	   68	           3	-7,50000000000000E+000	-2,25000000000000E+000	-4,93518506683159E+001	-4,93518506683159E+001	5,33039875197524E+000	-3,75700087576277E+001	-5,82294437548552E+001	2,03315784406131E+000	 1,66199374569189E+002	-2,06869732026742E+002	1,66295347138527E+002
                      	   67	           4	-7,50000000000000E+000	-2,37500000000000E+000	-5,00597171856868E+001	-5,00597171856868E+001	1,03143634361930E+001	-4,41015160612021E+001	-5,83033878750103E+001	1,30344055807964E+001	 1,61096215486599E+002	-2,08608119319764E+002	1,61201015030380E+002
                      	   80	           5	-7,50000000000000E+000	-2,50000000000000E+000	-5,08326529099203E+001	-5,08326529099203E+001	1,50497841916181E+001	-5,09196040619159E+001	-6,05788107896949E+001	2,39428124859757E+001	 1,55162061431328E+002	-2,08241439009808E+002	1,55278281720243E+002
           Plate\_2\_4	 8800	           1	 7,50000000000000E+000	-2,00000000000000E+000	-4,75825597315484E+001	-4,75825597315484E+001	3,12405532378770E-005	 2,51291903045758E+001	-1,75836277253386E-005	6,26571680845857E+001	-1,73855824493528E+002	-1,73982905045210E+002	1,95748346838799E+002
 Element 13-21 (Plate)	 8801	           2	 7,50000000000000E+000	-2,12500000000000E+000	-4,82428955233370E+001	-4,82428955233370E+001	3,20838894584596E-005	 3,12597041352946E+001	-7,02239475607264E-005	5,96725156974586E+001	-1,70333591574618E+002	-1,70468504942333E+002	2,01421393810980E+002
                (ERSS)	 8802	           3	 7,50000000000000E+000	-2,25000000000000E+000	-4,89344325362902E+001	-4,89344325362902E+001	4,97930797140679E+000	 3,76070236378276E+001	-2,36928622762137E+000	5,81386772366297E+001	-1,66032319328692E+002	-1,66176708714298E+002	2,05141110417399E+002
                      	 8803	           4	 7,50000000000000E+000	-2,37500000000000E+000	-4,97060401162289E+001	-4,97060401162289E+001	9,70668228489696E+000	 4,42734514883910E+001	-1,31898546972565E+001	5,87886103244719E+001	-1,60916373813875E+002	-1,61072122893393E+002	2,07027570314734E+002
                      	 8804	           5	 7,50000000000000E+000	-2,50000000000000E+000	-5,06065876089738E+001	-5,06065876089738E+001	1,41919310635203E+001	 5,13612903632010E+001	-2,45273856995393E+001	6,18374411153774E+001	-1,54945957379054E+002	-1,55115308525646E+002	2,07278390102339E+002
           Plate\_1\_5	   80	           1	-7,50000000000000E+000	-2,50000000000000E+000	-5,10910730635348E+001	-5,10910730635348E+001	1,55435445584022E+001	-5,09663501521586E+001	-6,11579908256734E+001	2,35461187724082E+001	 1,55162061431328E+002	-2,08241439009808E+002	1,55278281720243E+002
 Element 14-22 (Plate)	   83	           2	-7,50000000000000E+000	-2,75000000000000E+000	-5,26166814321400E+001	-5,26166814321400E+001	2,29201412442731E+001	-6,50092484700767E+001	-6,85931679756814E+001	4,59617816029652E+001	 1,40670277411907E+002	-2,02058387357358E+002	1,40695046038219E+002
                (ERSS)	   82	           3	-7,50000000000000E+000	-3,00000000000000E+000	-5,42498169205573E+001	-5,42498169205573E+001	2,90086937631342E+001	-7,98419001101448E+001	-8,01740189880030E+001	6,53270737772695E+001	 1,22600378581231E+002	-1,89241376362782E+002	1,22600378581231E+002
                      	   81	           4	-7,50000000000000E+000	-3,25000000000000E+000	-5,63221086513501E+001	-5,63221086513501E+001	3,38211921280930E+001	-9,61676964882564E+001	-9,64477853178167E+001	8,35357366205574E+001	 1,00615739510662E+002	-1,71062098356399E+002	1,00615739510662E+002
                      	  188	           5	-7,50000000000000E+000	-3,50000000000000E+000	-5,91651857470820E+001	-5,91651857470820E+001	3,73696263522570E+001	-1,14690029020305E+002	-1,14959449388473E+002	9,46283217361603E+001	 7,43248639501711E+001	-1,60787721839846E+002	7,43248639501711E+001
           Plate\_2\_5	 8804	           1	 7,50000000000000E+000	-2,50000000000000E+000	-5,09632854917951E+001	-5,09632854917951E+001	1,44891554236714E+001	 5,16190377745969E+001	-2,36230863937624E+001	6,11634565013077E+001	-1,54945957379054E+002	-1,55115308525646E+002	2,07278390102339E+002
 Element 17-25 (Plate)	 8642	           2	 7,50000000000000E+000	-2,75000000000000E+000	-5,23630568477001E+001	-5,23630568477001E+001	2,20449658375132E+001	 6,53787453476298E+001	-4,55737917740492E+001	6,85894002673495E+001	-1,40330367633780E+002	-1,40409856759407E+002	2,01615454360809E+002
                (ERSS)	 8643	           3	 7,50000000000000E+000	-3,00000000000000E+000	-5,39472637563139E+001	-5,39472637563139E+001	2,80849363706563E+001	 8,01062605397499E+001	-6,58585083801310E+001	8,05596188309315E+001	-1,22184539148409E+002	-1,22184539148409E+002	1,89316494695250E+002
                      	 8644	           4	 7,50000000000000E+000	-3,25000000000000E+000	-5,60421784844669E+001	-5,60421784844669E+001	3,28155140692901E+001	 9,64938826225122E+001	-8,09808997009244E+001	9,67703458897097E+001	-1,00129712942690E+002	-1,00129712942690E+002	1,71578898703289E+002
                      	 9799	           5	 7,50000000000000E+000	-3,50000000000000E+000	-5,89740732989893E+001	-5,89740732989893E+001	3,64431459796041E+001	 1,15233910867471E+002	-9,41509790588785E+001	1,15464007594358E+002	-7,37331061774901E+001	-7,37331061774901E+001	1,60776974325916E+002
           Plate\_1\_6	  188	           1	-7,50000000000000E+000	-3,50000000000000E+000	-6,06976520149074E+001	-6,06976520149074E+001	4,03317928497430E+001	-1,17905156821783E+002	-1,18663366264921E+002	9,98717839726846E+001	 7,43248639501711E+001	-1,60787721839846E+002	7,43248639501711E+001
 Element 18-26 (Plate)	  191	           2	-7,50000000000000E+000	-3,87500000000000E+000	-5,31931626204905E+001	-5,31931626204905E+001	3,89848003837034E+001	-1,23681912778301E+002	-1,23684381935101E+002	9,56483455576610E+001	 2,88021484611315E+001	-1,57347931387006E+002	2,88021484611315E+001
                (ERSS)	  190	           3	-7,50000000000000E+000	-4,25000000000000E+000	-4,31529801803611E+001	-4,31529801803611E+001	3,74503156609274E+001	-1,23386457039271E+002	-1,23386457039271E+002	8,54043205463121E+001	-1,76467757630589E+001	-1,59485756366087E+002	0,00000000000000E+000
                      	  189	           4	-7,50000000000000E+000	-4,62500000000000E+000	-3,12040874057516E+001	-4,01567889156480E+001	3,57511829795831E+001	-1,18453914652087E+002	-1,18453914652087E+002	8,12989311802042E+001	-6,31797570609859E+001	-1,62951796219039E+002	0,00000000000000E+000
