    Structural element	 Node	Local number	                 X [m]	                 Y [m]	              N [kN/m]	          N_min [kN/m]	         N_max [kN/m]	              Q [kN/m]	          Q_min [kN/m]	         Q_max [kN/m]	            M [kN m/m]	        M_min [kN m/m]	       M_max [kN m/m]
  Element 9-16 (Plate)	 7671	           2	 7,50000000000000E+000	 8,33333333333334E-002	-3,45914830152772E+001	-3,45914830152772E+001	2,39445532032271E-005	-7,73268841282513E+001	-7,73268841282513E+001	6,06422129305713E+001	-1,13906897377630E+002	-1,13906897377630E+002	6,75941866036355E+001
                (ERSS)	 7672	           3	 7,50000000000000E+000	-3,33333333333333E-001	-3,72263624035454E+001	-3,72263624035454E+001	2,66080676307657E-005	-6,01863788197570E+001	-6,01863788197570E+001	6,61274842693362E+001	-1,42662948469715E+002	-1,42662948469715E+002	9,41560088649840E+001
                      	 7673	           4	 7,50000000000000E+000	-7,50000000000000E-001	-3,99101504738263E+001	-3,99101504738263E+001	2,85939728711756E-005	-4,11926413908318E+001	-4,11926413908318E+001	6,60097881731166E+001	-1,63816549499566E+002	-1,63816549499566E+002	1,21815981818029E+002
                      	 8784	           5	 7,50000000000000E+000	-1,16666666666667E+000	-4,32414685684751E+001	-4,32414685684751E+001	2,98979433280444E-005	-1,88049947574403E+001	-1,88049947574403E+001	6,08422927702414E+001	-1,76484866618701E+002	-1,76484866618701E+002	1,48326226189863E+002
           Plate\_2\_3	 8784	           1	 7,50000000000000E+000	-1,16666666666667E+000	-4,31212054309170E+001	-4,31212054309170E+001	2,99361087458120E-005	-1,91113798517620E+001	-1,91113798517620E+001	6,16152295031222E+001	-1,76484866618701E+002	-1,76484866618701E+002	1,48326226189863E+002
  Element 9-17 (Plate)	 8781	           2	 7,50000000000000E+000	-1,37500000000000E+000	-4,44996808941413E+001	-4,44996808941413E+001	3,03867965107412E-005	-8,01085029576316E+000	-8,01085029576316E+000	5,89775233686078E+001	-1,79305580171647E+002	-1,79305580171647E+002	1,60848745265727E+002
                (ERSS)	 8782	           3	 7,50000000000000E+000	-1,58333333333333E+000	-4,56689559800590E+001	-4,56689559800590E+001	3,07348847787052E-005	 2,98489938553826E+000	 0,00000000000000E+000	5,70407784346432E+001	-1,79830758588112E+002	-1,79830758588112E+002	1,72855605949034E+002
                      	 8783	           4	 7,50000000000000E+000	-1,79166666666667E+000	-4,66818124216446E+001	-4,66818124216446E+001	3,09844988019939E-005	 1,40068343050894E+001	-2,63615610278205E-006	5,90328929804408E+001	-1,78059767222115E+002	-1,78059767222115E+002	1,84449416931143E+002
                      	 8800	           5	 7,50000000000000E+000	-2,00000000000000E+000	-4,75910319518726E+001	-4,75910319518726E+001	3,11397638328973E-005	 2,51859195758374E+001	-1,09463170564201E-005	6,35643991314412E+001	-1,73982905045210E+002	-1,73982905045210E+002	1,95748346838799E+002
           Plate\_1\_4	   66	           1	-7,50000000000000E+000	-2,00000000000000E+000	-4,80169130547199E+001	-4,80169130547199E+001	3,14815377162033E-005	-2,51674693184020E+001	-6,31769530209444E+001	1,66080098747388E-005	 1,74112694409208E+002	-1,97375489600717E+002	1,74112694409208E+002
 Element 10-18 (Plate)	   69	           2	-7,50000000000000E+000	-2,12500000000000E+000	-4,86412683742103E+001	-4,86412683742103E+001	3,23747110471971E-005	-3,12352514890645E+001	-5,99876046557271E+001	6,92001531439694E-005	 1,70590168608276E+002	-2,03095341504470E+002	1,70590168608276E+002
                (ERSS)	   68	           3	-7,50000000000000E+000	-2,25000000000000E+000	-4,92920473933114E+001	-4,92920473933114E+001	5,33039875197524E+000	-3,75076745995567E+001	-5,82294437548552E+001	2,03315784406131E+000	 1,66295347138527E+002	-2,06869732026742E+002	1,66295347138527E+002
                      	   67	           4	-7,50000000000000E+000	-2,37500000000000E+000	-4,99887319432079E+001	-4,99887319432079E+001	1,03143634361930E+001	-4,40218560465756E+001	-5,83033878750103E+001	1,30344055807964E+001	 1,61201015030380E+002	-2,08608119319764E+002	1,61201015030380E+002
                      	   80	           5	-7,50000000000000E+000	-2,50000000000000E+000	-5,07508038550841E+001	-5,07508038550841E+001	1,50497841916181E+001	-5,08149132268185E+001	-6,05788107896949E+001	2,39428124859757E+001	 1,55278281720243E+002	-2,08241439009808E+002	1,55278281720243E+002
           Plate\_2\_4	 8800	           1	 7,50000000000000E+000	-2,00000000000000E+000	-4,75459036218274E+001	-4,75459036218274E+001	3,12405532378770E-005	 2,50739009208557E+001	-1,75836277253386E-005	6,26571680845857E+001	-1,73982905045210E+002	-1,73982905045210E+002	1,95748346838799E+002
 Element 13-21 (Plate)	 8801	           2	 7,50000000000000E+000	-2,12500000000000E+000	-4,81980717725478E+001	-4,81980717725478E+001	3,20838894584596E-005	 3,11902742676607E+001	-7,02239475607264E-005	5,96725156974586E+001	-1,70468504942333E+002	-1,70468504942333E+002	2,01421393810980E+002
                (ERSS)	 8802	           3	 7,50000000000000E+000	-2,25000000000000E+000	-4,88808136817548E+001	-4,88808136817548E+001	4,97930797140679E+000	 3,75241055697634E+001	-2,36928622762137E+000	5,81386772366297E+001	-1,66176708714298E+002	-1,66176708714298E+002	2,05141110417399E+002
                      	 8803	           4	 7,50000000000000E+000	-2,37500000000000E+000	-4,96439127805078E+001	-4,96439127805078E+001	9,70668228489696E+000	 4,41746102132515E+001	-1,31898546972565E+001	5,87886103244719E+001	-1,61072122893393E+002	-1,61072122893393E+002	2,07027570314734E+002
                      	 8804	           5	 7,50000000000000E+000	-2,50000000000000E+000	-5,05371524998659E+001	-5,05371524998659E+001	1,41919310635203E+001	 5,12410035842126E+001	-2,45273856995393E+001	6,18374411153774E+001	-1,55115308525646E+002	-1,55115308525646E+002	2,07278390102339E+002
           Plate\_1\_5	   80	           1	-7,50000000000000E+000	-2,50000000000000E+000	-5,10131520102850E+001	-5,10131520102850E+001	1,55435445584022E+001	-5,13791269019970E+001	-6,11579908256734E+001	2,35461187724082E+001	 1,55278281720243E+002	-2,08241439009808E+002	1,55278281720243E+002
 Element 14-22 (Plate)	   83	           2	-7,50000000000000E+000	-2,75000000000000E+000	-5,25070413790679E+001	-5,25070413790679E+001	2,29201412442731E+001	-6,53395021310054E+001	-6,85931679756814E+001	4,59617816029652E+001	 1,40695046038219E+002	-2,02058387357358E+002	1,40695046038219E+002
                (ERSS)	   82	           3	-7,50000000000000E+000	-3,00000000000000E+000	-5,41153087237482E+001	-5,41153087237482E+001	2,90086937631342E+001	-8,01350955841364E+001	-8,01740189880030E+001	6,53270737772695E+001	 1,22547379375917E+002	-1,89241376362782E+002	1,22547379375917E+002
                      	   81	           4	-7,50000000000000E+000	-3,25000000000000E+000	-5,61685653449077E+001	-5,61685653449077E+001	3,38211921280930E+001	-9,64477853178167E+001	-9,64477853178167E+001	8,35357366205574E+001	 1,00491881632001E+002	-1,71062098356399E+002	1,00491881632001E+002
                      	  188	           5	-7,50000000000000E+000	-3,50000000000000E+000	-5,89974225431279E+001	-5,89974225431279E+001	3,73696263522570E+001	-1,14959449388473E+002	-1,14959449388473E+002	9,46283217361603E+001	 7,41319231947914E+001	-1,60787721839846E+002	7,41319231947914E+001
           Plate\_2\_5	 8804	           1	 7,50000000000000E+000	-2,50000000000000E+000	-5,08954060230951E+001	-5,08954060230951E+001	1,44891554236714E+001	 5,20082801675506E+001	-2,36230863937624E+001	6,11634565013077E+001	-1,55115308525646E+002	-1,55115308525646E+002	2,07278390102339E+002
 Element 17-25 (Plate)	 8642	           2	 7,50000000000000E+000	-2,75000000000000E+000	-5,22751419309488E+001	-5,22751419309488E+001	2,20449658375132E+001	 6,57154381279231E+001	-4,55737917740492E+001	6,85894002673495E+001	-1,40409856759407E+002	-1,40409856759407E+002	2,01615454360809E+002
                (ERSS)	 8643	           3	 7,50000000000000E+000	-3,00000000000000E+000	-5,38370434561570E+001	-5,38370434561570E+001	2,80849363706563E+001	 8,04118080514371E+001	-6,58585083801310E+001	8,05596188309315E+001	-1,22183486737978E+002	-1,22183486737978E+002	1,89316494695250E+002
                      	 8644	           4	 7,50000000000000E+000	-3,25000000000000E+000	-5,59054300193733E+001	-5,59054300193733E+001	3,28155140692901E+001	 9,67703458897097E+001	-8,09808997009244E+001	9,67703458897097E+001	-1,00056221345589E+002	-1,00056221345589E+002	1,71578898703289E+002
                      	 9799	           5	 7,50000000000000E+000	-3,50000000000000E+000	-5,88046210412511E+001	-5,88046210412511E+001	3,64431459796041E+001	 1,15464007594358E+002	-9,41509790588785E+001	1,15464007594358E+002	-7,35955359791480E+001	-7,35955359791480E+001	1,60776974325916E+002
           Plate\_1\_6	  188	           1	-7,50000000000000E+000	-3,50000000000000E+000	-6,06006383249208E+001	-6,06006383249208E+001	4,03317928497430E+001	-1,18376711107915E+002	-1,18663366264921E+002	9,98717839726846E+001	 7,41319231947914E+001	-1,60787721839846E+002	7,41319231947914E+001
