    Structural element	 Node	Local number	                 X [m]	                 Y [m]	              N [kN/m]	          N_min [kN/m]	         N_max [kN/m]	              Q [kN/m]	          Q_min [kN/m]	         Q_max [kN/m]	            M [kN m/m]	        M_min [kN m/m]	       M_max [kN m/m]
                (ERSS)	   44	           3	-7,50000000000000E+000	-1,58333333333333E+000	-7,33964776873035E+001	-7,33964776873035E+001	3,09866641192983E-005	-1,04773883076869E+002	-1,04773883076869E+002	0,00000000000000E+000	-1,84233213259691E+001	-1,74567309293706E+002	1,79967273218360E+002
                      	   43	           4	-7,50000000000000E+000	-1,79166666666667E+000	-7,63348199577910E+001	-7,63348199577910E+001	3,12450283950933E-005	-1,20874658260234E+002	-1,20874658260234E+002	1,63293243023406E-006	-4,19303205940933E+001	-1,86163408176213E+002	1,78205741853232E+002
                      	   66	           5	-7,50000000000000E+000	-2,00000000000000E+000	-7,91510258480077E+001	-7,91510258480077E+001	3,14050096076500E-005	-1,37066854303268E+002	-1,37066854303268E+002	9,91590015967349E-006	-6,87925100813478E+001	-1,97375489600717E+002	1,74112694409208E+002
           Plate\_2\_3	 7764	           1	 7,50000000000000E+000	 5,00000000000000E-001	-3,90686041523227E+001	-3,90686041523227E+001	2,06077551849727E-005	-4,45079864050798E+001	-9,41548344003503E+001	4,96937272266754E+001	-3,90399813478720E+001	-7,82331080577604E+001	4,44090795459115E+001
  Element 9-16 (Plate)	 7671	           2	 7,50000000000000E+000	 8,33333333333334E-002	-4,61702148070222E+001	-4,61702148070222E+001	2,39445532032271E-005	-1,76116804479351E+001	-7,73268841282513E+001	6,06422129305713E+001	-5,19452188535434E+001	-1,13906897377630E+002	6,75941866036355E+001
                (ERSS)	 7672	           3	 7,50000000000000E+000	-3,33333333333333E-001	-5,28017572125912E+001	-5,28017572125912E+001	2,66080676307657E-005	 9,79536078996051E+000	-6,01863788197570E+001	6,61274842693362E+001	-5,36764527722264E+001	-1,42662948469715E+002	9,41560088649840E+001
                      	 7673	           4	 7,50000000000000E+000	-7,50000000000000E-001	-5,95348273608292E+001	-5,95348273608292E+001	2,85939728711756E-005	 3,91829570572476E+001	-4,11926413908318E+001	6,60097881731166E+001	-4,35056026113815E+001	-1,63816549499566E+002	1,21815981818029E+002
                      	 8784	           5	 7,50000000000000E+000	-1,16666666666667E+000	-6,69410212435358E+001	-6,69410212435358E+001	2,98979433280444E-005	 7,20209281025666E+001	-1,88049947574403E+001	7,20209281025666E+001	-2,05140561514377E+001	-1,76484866618701E+002	1,48326226189863E+002
           Plate\_2\_3	 8784	           1	 7,50000000000000E+000	-1,16666666666667E+000	-6,68338567765710E+001	-6,68338567765710E+001	2,99361087458120E-005	 7,17484869302274E+001	-1,91113798517620E+001	7,17484869302274E+001	-2,05140561514377E+001	-1,76484866618701E+002	1,48326226189863E+002
  Element 9-17 (Plate)	 8781	           2	 7,50000000000000E+000	-1,37500000000000E+000	-7,03885545122897E+001	-7,03885545122897E+001	3,03867965107412E-005	 8,84269876725452E+001	-8,01085029576316E+000	8,84269876725452E+001	-3,83284864205126E+000	-1,79305580171647E+002	1,60848745265727E+002
                (ERSS)	 8782	           3	 7,50000000000000E+000	-1,58333333333333E+000	-7,37625057095692E+001	-7,37625057095692E+001	3,07348847787052E-005	 1,05073230442138E+002	 0,00000000000000E+000	1,05073230442138E+002	 1,63294895839584E+001	-1,79830758588112E+002	1,72855605949034E+002
                      	 8783	           4	 7,50000000000000E+000	-1,79166666666667E+000	-7,69579136312439E+001	-7,69579136312439E+001	3,09844988019939E-005	 1,21687120651970E+002	-2,63615610278205E-006	1,21687120651970E+002	 3,99555365842085E+001	-1,78059767222115E+002	1,84449416931143E+002
                      	 8800	           5	 7,50000000000000E+000	-2,00000000000000E+000	-7,99769815401479E+001	-7,99769815401479E+001	3,11397638328973E-005	 1,38268563715004E+002	-1,09463170564201E-005	1,38268563715004E+002	 6,70289979643171E+001	-1,73982905045210E+002	1,95748346838799E+002
           Plate\_1\_4	   66	           1	-7,50000000000000E+000	-2,00000000000000E+000	-7,85696648243748E+001	-7,85696648243748E+001	3,14815377162033E-005	-1,35862609771462E+002	-1,35862609771462E+002	1,66080098747388E-005	-6,87925100813478E+001	-1,97375489600717E+002	1,74112694409208E+002
 Element 10-18 (Plate)	   69	           2	-7,50000000000000E+000	-2,12500000000000E+000	-8,27182531340060E+001	-8,27182531340060E+001	3,23747110471971E-005	-1,49372631745241E+002	-1,49372631745241E+002	6,92001531439694E-005	-8,65852517686560E+001	-2,03095341504470E+002	1,70590168608276E+002
                (ERSS)	   68	           3	-7,50000000000000E+000	-2,25000000000000E+000	-8,78029781166958E+001	-8,78029781166958E+001	5,33039875197524E+000	-1,65021701506258E+002	-1,65021701506258E+002	2,03315784406131E+000	-1,06230701708657E+002	-2,06869732026742E+002	1,66295347138527E+002
                      	   67	           4	-7,50000000000000E+000	-2,37500000000000E+000	-9,34819488902566E+001	-9,34819488902566E+001	1,03143634361930E+001	-1,82077673057579E+002	-1,82084901983865E+002	1,30344055807964E+001	-1,27908800984738E+002	-2,08608119319764E+002	1,61201015030380E+002
                      	   80	           5	-7,50000000000000E+000	-2,50000000000000E+000	-9,94132745725003E+001	-9,94132745725003E+001	1,50497841916181E+001	-1,99808400402272E+002	-1,99820932450890E+002	2,39428124859757E+001	-1,51772265695971E+002	-2,08241439009808E+002	1,55278281720243E+002
           Plate\_2\_4	 8800	           1	 7,50000000000000E+000	-2,00000000000000E+000	-7,92566330951455E+001	-7,92566330951455E+001	3,12405532378770E-005	 1,36786765357539E+002	-1,75836277253386E-005	1,36786765357539E+002	 6,70289979643172E+001	-1,73982905045210E+002	1,95748346838799E+002
 Element 13-21 (Plate)	 8801	           2	 7,50000000000000E+000	-2,12500000000000E+000	-8,36456747604747E+001	-8,36456747604747E+001	3,20838894584596E-005	 1,50814340059292E+002	-7,02239475607264E-005	1,50814340059292E+002	 8,49780291474942E+001	-1,70468504942333E+002	2,01421393810980E+002
                (ERSS)	 8802	           3	 7,50000000000000E+000	-2,25000000000000E+000	-8,88028227284913E+001	-8,88028227284913E+001	4,97930797140679E+000	 1,66622872714921E+002	-2,36928622762137E+000	1,66624068766540E+002	 1,04809549261219E+002	-1,66176708714298E+002	2,05141110417399E+002
                      	 8803	           4	 7,50000000000000E+000	-2,37500000000000E+000	-9,45934871145968E+001	-9,45934871145968E+001	9,70668228489696E+000	 1,83922004278043E+002	-1,31898546972565E+001	1,83928030852335E+002	 1,26705449180357E+002	-1,61072122893393E+002	2,07027570314734E+002
                      	 8804	           5	 7,50000000000000E+000	-2,50000000000000E+000	-1,00883078034193E+002	-1,00883078034193E+002	1,41919310635203E+001	 2,02421375702274E+002	-2,45273856995393E+001	2,02430849398344E+002	 1,50837234510020E+002	-1,55115308525646E+002	2,07278390102339E+002
           Plate\_1\_5	   80	           1	-7,50000000000000E+000	-2,50000000000000E+000	-9,87060911434622E+001	-9,87060911434622E+001	1,55435445584022E+001	 2,75525870353290E+002	-6,11579908256734E+001	2,75525870353290E+002	-1,51772265695971E+002	-2,08241439009808E+002	1,55278281720243E+002
 Element 14-22 (Plate)	   83	           2	-7,50000000000000E+000	-2,75000000000000E+000	-1,08683280757720E+002	-1,08686244866554E+002	2,29201412442731E+001	 2,43685738613013E+002	-6,85931679756814E+001	2,43685738613013E+002	-8,69156260178797E+001	-2,02058387357358E+002	1,40695046038219E+002
                (ERSS)	   82	           3	-7,50000000000000E+000	-3,00000000000000E+000	-1,17234612869713E+002	-1,17234866940246E+002	2,90086937631342E+001	 2,14257762044600E+002	-8,01740189880030E+001	2,14257762044600E+002	-2,97438833010428E+001	-1,89241376362782E+002	1,22600378581231E+002
                      	   81	           4	-7,50000000000000E+000	-3,25000000000000E+000	-1,23957935259330E+002	-1,23957935259330E+002	3,38211921280930E+001	 1,88148055359964E+002	-9,64477853178167E+001	1,88148055359964E+002	 2,05143870937872E+001	-1,71062098356399E+002	1,02724669648978E+002
                      	  188	           5	-7,50000000000000E+000	-3,50000000000000E+000	-1,28451095706459E+002	-1,28451095706459E+002	3,73696263522570E+001	 1,66262733271019E+002	-1,14959449388473E+002	1,66262733271019E+002	 6,46973819130257E+001	-1,60787721839846E+002	9,78521009320465E+001
           Plate\_2\_5	 8804	           1	 7,50000000000000E+000	-2,50000000000000E+000	-1,00399599305374E+002	-1,00399599305374E+002	1,44891554236714E+001	-2,72451121903391E+002	-2,72451121903391E+002	6,11634565013077E+001	 1,50837234510020E+002	-1,55115308525646E+002	2,07278390102339E+002
 Element 17-25 (Plate)	 8642	           2	 7,50000000000000E+000	-2,75000000000000E+000	-1,10089147577799E+002	-1,10089147577799E+002	2,20449658375132E+001	-2,41192894171449E+002	-2,41192894171449E+002	6,85894002673495E+001	 8,66238696908074E+001	-1,40409856759407E+002	2,01615454360809E+002
                (ERSS)	 8643	           3	 7,50000000000000E+000	-3,00000000000000E+000	-1,18953933682699E+002	-1,18953933682699E+002	2,80849363706563E+001	-2,11125498132271E+002	-2,11125498132271E+002	8,05596188309315E+001	 3,01751488573957E+001	-1,22184539148409E+002	1,89316494695250E+002
                      	 8644	           4	 7,50000000000000E+000	-3,25000000000000E+000	-1,25979256451291E+002	-1,25979256451291E+002	3,28155140692901E+001	-1,84418672558294E+002	-1,84418672558294E+002	9,67703458897097E+001	-1,92431726705772E+001	-1,02811641704657E+002	1,71578898703289E+002
                      	 9799	           5	 7,50000000000000E+000	-3,50000000000000E+000	-1,30150414714790E+002	-1,30150414714790E+002	3,64431459796041E+001	-1,63242156221952E+002	-1,63242156221952E+002	1,15464007594358E+002	-6,25283458218503E+001	-9,62722535624849E+001	1,60776974325916E+002
           Plate\_1\_6	  188	           1	-7,50000000000000E+000	-3,50000000000000E+000	-1,28202961053847E+002	-1,28202961053847E+002	4,03317928497430E+001	 1,66787711272302E+002	-1,18663366264921E+002	1,66787711272302E+002	 6,46973819130257E+001	-1,60787721839846E+002	9,78521009320465E+001
 Element 18-26 (Plate)	  191	           2	-7,50000000000000E+000	-3,87500000000000E+000	-1,34204299937541E+002	-1,34204299937541E+002	3,89848003837034E+001	 1,34541357127289E+002	-1,23684381935101E+002	1,34541357127289E+002	 1,21029360796889E+002	-1,57347931387006E+002	1,21029360796889E+002
                (ERSS)	  190	           3	-7,50000000000000E+000	-4,25000000000000E+000	-1,38148456609944E+002	-1,38148456609944E+002	3,74503156609274E+001	 1,05406905378999E+002	-1,23386457039271E+002	1,05406905378999E+002	 1,66027518628275E+002	-1,59485756366087E+002	1,66027518628275E+002
                      	  189	           4	-7,50000000000000E+000	-4,62500000000000E+000	-1,40899270603432E+002	-1,40899270603432E+002	3,57511829795831E+001	 7,75664539535443E+001	-1,18453914652087E+002	8,12989311802042E+001	 2,00264473154444E+002	-1,62951796219039E+002	2,00264473154444E+002
                      	  416	           5	-7,50000000000000E+000	-5,00000000000000E+000	-1,43320581450383E+002	-1,43320581450383E+002	4,01085665993626E+001	 4,92021007770352E+001	-1,10407098752452E+002	7,74527807091294E+001	 2,24101568121483E+002	-1,68315206385771E+002	2,24101568121483E+002
           Plate\_2\_6	 9799	           1	 7,50000000000000E+000	-3,50000000000000E+000	-1,30553926051383E+002	-1,30553926051383E+002	3,93919899338932E+001	-1,62375907036698E+002	-1,62375907036698E+002	1,18280385471828E+002	-6,25283458218503E+001	-9,62722535624849E+001	1,60776974325916E+002
 Element 21-29 (Plate)	 9800	           2	 7,50000000000000E+000	-3,87500000000000E+000	-1,34982310092015E+002	-1,34982310092015E+002	3,81204325987477E+001	-1,33456982506976E+002	-1,33456982506976E+002	1,24887820095806E+002	-1,17906513135970E+002	-1,20782411466899E+002	1,57060679655425E+002
                (ERSS)	 9801	           3	 7,50000000000000E+000	-4,25000000000000E+000	-1,38104803713741E+002	-1,38104803713741E+002	3,66387088501262E+001	-1,06055454919536E+002	-1,06055454919536E+002	1,24069917909684E+002	-1,62828253900338E+002	-1,62828253900338E+002	1,59044331286611E+002
                      	 9802	           4	 7,50000000000000E+000	-4,62500000000000E+000	-1,40387133406449E+002	-1,40387133406449E+002	3,49735305653735E+001	-7,91874172724128E+001	-8,11723848645340E+001	1,17786113560388E+002	-1,97533137410303E+002	-1,97533137410303E+002	1,62407431892300E+002
