    Structural element	 Node	Local number	                 X [m]	                 Y [m]	              N [kN/m]	          N_min [kN/m]	         N_max [kN/m]	              Q [kN/m]	          Q_min [kN/m]	         Q_max [kN/m]	            M [kN m/m]	        M_min [kN m/m]	       M_max [kN m/m]
                      	 8800	           5	 7,50000000000000E+000	-2,00000000000000E+000	-2,70048117423969E+001	-2,70048117423969E+001	3,11397638328973E-005	 9,65381859860646E+000	-1,09463170564201E-005	9,65381859860646E+000	 1,04592491527035E+001	 0,00000000000000E+000	1,04592491527035E+001
           Plate\_1\_4	   66	           1	-7,50000000000000E+000	-2,00000000000000E+000	-2,70017006038316E+001	-2,70017006038316E+001	3,14815377162033E-005	-9,00380680129456E+000	-9,00380680129456E+000	1,66080098747388E-005	-1,04720456581853E+001	-1,04720456581853E+001	0,00000000000000E+000
 Element 10-18 (Plate)	   69	           2	-7,50000000000000E+000	-2,12500000000000E+000	-2,77981545537216E+001	-2,77981545537216E+001	3,23747110471971E-005	-4,64041940916671E+000	-4,64041940916671E+000	6,92001531439694E-005	-1,13143118465161E+001	-1,13143118465161E+001	0,00000000000000E+000
                (ERSS)	   68	           3	-7,50000000000000E+000	-2,25000000000000E+000	-2,85715145181471E+001	-2,85715145181471E+001	3,31659207202891E-005	-1,22315387712162E+000	-1,22315387712162E+000	1,08539844489009E-004	-1,16717667802404E+001	-1,16717667802404E+001	0,00000000000000E+000
                      	   67	           4	-7,50000000000000E+000	-2,37500000000000E+000	-2,93224146327704E+001	-2,93224146327704E+001	3,38588896342413E-005	 1,29610961566336E+000	 0,00000000000000E+000	1,29610961566336E+000	-1,16575676070756E+001	-1,16575676070756E+001	0,00000000000000E+000
                      	   80	           5	-7,50000000000000E+000	-2,50000000000000E+000	-3,00514890332537E+001	-3,00514890332537E+001	3,44573406878155E-005	 2,96549089001091E+000	 0,00000000000000E+000	2,96549089001091E+000	-1,13829167797104E+001	-1,13829167797104E+001	0,00000000000000E+000
           Plate\_2\_4	 8800	           1	 7,50000000000000E+000	-2,00000000000000E+000	-2,70075326141784E+001	-2,70075326141784E+001	3,12405532378770E-005	 9,01778523898129E+000	-1,75836277253386E-005	9,01778523898129E+000	 1,04592491527038E+001	 0,00000000000000E+000	1,04592491527038E+001
 Element 13-21 (Plate)	 8801	           2	 7,50000000000000E+000	-2,12500000000000E+000	-2,78057836489278E+001	-2,78057836489278E+001	3,20838894584596E-005	 4,64551842177505E+000	-7,02239475607264E-005	4,64551842177505E+000	 1,13026179815992E+001	 0,00000000000000E+000	1,13026179815992E+001
                (ERSS)	 8802	           3	 7,50000000000000E+000	-2,25000000000000E+000	-2,85802316196203E+001	-2,85802316196203E+001	3,28386817878092E-005	 1,22636049699457E+000	-1,09531463306481E-004	1,22636049699457E+000	 1,16605472534900E+001	 0,00000000000000E+000	1,16605472534900E+001
                      	 8803	           4	 7,50000000000000E+000	-2,37500000000000E+000	-2,93315108265369E+001	-2,93315108265369E+001	3,35069019717036E-005	-1,28937495423070E+000	-1,28937495423070E+000	0,00000000000000E+000	 1,16469013123146E+001	 0,00000000000000E+000	1,16469013123146E+001
