    Structural element	 Node	Local number	                 X [m]	                 Y [m]	              N [kN/m]	          N_min [kN/m]	         N_max [kN/m]	              Q [kN/m]	          Q_min [kN/m]	         Q_max [kN/m]	            M [kN m/m]	        M_min [kN m/m]	       M_max [kN m/m]
                      	 8783	           4	 7,50000000000000E+000	-1,79166666666667E+000	-7,97295167642663E+001	-8,03255866954597E+001	3,09844988019939E-005	 1,32066528375325E+002	-2,63615610278205E-006	1,32066528375325E+002	 5,93933390254319E+001	-1,78059767222115E+002	1,84449416931143E+002
                      	 8800	           5	 7,50000000000000E+000	-2,00000000000000E+000	-8,28615913922862E+001	-8,34789999032004E+001	3,11397638328973E-005	 1,49016949833264E+002	-1,09463170564201E-005	1,49016949833264E+002	 8,86688388117815E+001	-1,73982905045210E+002	1,95748346838799E+002
           Plate\_1\_4	   66	           1	-7,50000000000000E+000	-2,00000000000000E+000	-8,21832809715874E+001	-8,28128068667160E+001	3,14815377162033E-005	-1,47488456753415E+002	-1,47488456753415E+002	1,66080098747388E-005	-9,02641784964305E+001	-1,97375489600717E+002	1,74112694409208E+002
 Element 10-18 (Plate)	   69	           2	-7,50000000000000E+000	-2,12500000000000E+000	-8,51066063585983E+001	-8,58659816828448E+001	3,23747110471971E-005	-1,59108444993228E+002	-1,59108444993228E+002	6,92001531439694E-005	-1,09384596757251E+002	-2,03095341504470E+002	1,70590168608276E+002
                (ERSS)	   68	           3	-7,50000000000000E+000	-2,25000000000000E+000	-8,93270852400213E+001	-9,02145338884078E+001	5,33039875197524E+000	-1,73570223907847E+002	-1,73570223907847E+002	2,03315784406131E+000	-1,30165438762581E+002	-2,06869732026742E+002	1,66295347138527E+002
                      	   67	           4	-7,50000000000000E+000	-2,37500000000000E+000	-9,45083633255585E+001	-9,55222484772368E+001	1,03143634361930E+001	-1,90157571739818E+002	-1,90157571739818E+002	1,30344055807964E+001	-1,52875698835493E+002	-2,08608119319764E+002	1,61201015030380E+002
                      	   80	           5	-7,50000000000000E+000	-2,50000000000000E+000	-1,00314086324912E+002	-1,01476815215653E+002	1,50497841916181E+001	-2,08154266731687E+002	-2,08154266731687E+002	2,39428124859757E+001	-1,77757719144990E+002	-2,08241439009808E+002	1,55278281720243E+002
           Plate\_2\_4	 8800	           1	 7,50000000000000E+000	-2,00000000000000E+000	-8,25049604727584E+001	-8,31354236929993E+001	3,12405532378770E-005	 1,48391728187975E+002	-1,75836277253386E-005	1,48391728187975E+002	 8,86688388117812E+001	-1,73982905045210E+002	1,95748346838799E+002
 Element 13-21 (Plate)	 8801	           2	 7,50000000000000E+000	-2,12500000000000E+000	-8,57726803766899E+001	-8,65308778264022E+001	3,20838894584596E-005	 1,60759253882096E+002	-7,02239475607264E-005	1,60759253882096E+002	 1,07957290198365E+002	-1,70468504942333E+002	2,01421393810980E+002
                (ERSS)	 8802	           3	 7,50000000000000E+000	-2,25000000000000E+000	-9,01546737144144E+001	-9,10386679368384E+001	4,97930797140679E+000	 1,75577937201665E+002	-2,36928622762137E+000	1,75577937201665E+002	 1,28963621283728E+002	-1,66176708714298E+002	2,05141110417399E+002
