    Structural element	 Node	Local number	                 X [m]	                 Y [m]	              N [kN/m]	          N_min [kN/m]	         N_max [kN/m]	              Q [kN/m]	          Q_min [kN/m]	         Q_max [kN/m]	            M [kN m/m]	        M_min [kN m/m]	       M_max [kN m/m]
                      	 9799	           5	 7,50000000000000E+000	-3,50000000000000E+000	-1,40063934252784E+002	-1,40063934252784E+002	3,64431459796041E+001	-1,59208733975360E+002	-1,65160200506891E+002	1,15464007594358E+002	-4,36088627741987E+001	-9,62722535624849E+001	1,60776974325916E+002
           Plate\_1\_6	  188	           1	-7,50000000000000E+000	-3,50000000000000E+000	-1,36169010757020E+002	-1,36169010757020E+002	4,03317928497430E+001	 1,67864519562303E+002	-1,18663366264921E+002	1,70773827001881E+002	 4,64501842701488E+001	-1,60787721839846E+002	9,78521009320465E+001
 Element 18-26 (Plate)	  191	           2	-7,50000000000000E+000	-3,87500000000000E+000	-1,53161213842539E+002	-1,53161213842539E+002	3,89848003837034E+001	 1,12532866318972E+002	-1,23684381935101E+002	1,34541357127289E+002	 9,82886185273676E+001	-1,57347931387006E+002	1,21029360796889E+002
                (ERSS)	  190	           3	-7,50000000000000E+000	-4,25000000000000E+000	-1,63642075397601E+002	-1,63642075397601E+002	3,74503156609274E+001	 6,99289687543663E+001	-1,23386457039271E+002	1,05406905378999E+002	 1,32654256664348E+002	-1,59485756366087E+002	1,66027518628275E+002
                      	  189	           4	-7,50000000000000E+000	-4,62500000000000E+000	-1,72410385901602E+002	-1,72410385901602E+002	3,57511829795831E+001	 2,98265536720442E+001	-1,18453914652087E+002	8,12989311802042E+001	 1,51059983048043E+002	-1,62951796219039E+002	2,00264473154444E+002
                      	  416	           5	-7,50000000000000E+000	-5,00000000000000E+000	-1,84264935833938E+002	-1,84264935833938E+002	4,01085665993626E+001	-1,80006521244352E+001	-1,10407098752452E+002	7,74527807091294E+001	 1,53844787030549E+002	-1,68315206385771E+002	2,24101568121483E+002
           Plate\_2\_6	 9799	           1	 7,50000000000000E+000	-3,50000000000000E+000	-1,38119397901200E+002	-1,38119397901200E+002	3,93919899338932E+001	-1,63347307391742E+002	-1,65736049213202E+002	1,18280385471828E+002	-4,36088627741987E+001	-9,62722535624849E+001	1,60776974325916E+002
 Element 21-29 (Plate)	 9800	           2	 7,50000000000000E+000	-3,87500000000000E+000	-1,53952418669625E+002	-1,53952418669625E+002	3,81204325987477E+001	-1,10531087441646E+002	-1,33456982506976E+002	1,24887820095806E+002	-9,42792714624815E+001	-1,20782411466899E+002	1,57060679655425E+002
                (ERSS)	 9801	           3	 7,50000000000000E+000	-4,25000000000000E+000	-1,63982030686977E+002	-1,63982030686977E+002	3,66387088501262E+001	-6,88954552546139E+001	-1,06055454919536E+002	1,24069917909684E+002	-1,28114483983418E+002	-1,62828253900338E+002	1,59044331286611E+002
                      	 9802	           4	 7,50000000000000E+000	-4,62500000000000E+000	-1,72928790245112E+002	-1,72928790245112E+002	3,49735305653735E+001	-2,83938622326100E+001	-8,11723848645340E+001	1,17786113560388E+002	-1,46104483265890E+002	-1,97533137410303E+002	1,62407431892300E+002
                      	10469	           5	 7,50000000000000E+000	-5,00000000000000E+000	-1,85513253635892E+002	-1,85513253635892E+002	3,97136455919448E+001	 2,10202402224023E+001	-7,76658174548659E+001	1,07995841694840E+002	-1,48085933923097E+002	-2,22144999199246E+002	1,66262183883502E+002
           Plate\_1\_7	  416	           1	-7,50000000000000E+000	-5,00000000000000E+000	-1,81774261125712E+002	-1,81774261125712E+002	4,09017038929366E+001	-1,27101907111436E+001	-1,08898270164973E+002	7,85398776498060E+001	 1,53844787030548E+002	-1,68315206385771E+002	2,24101568121483E+002
