    Structural element	 Node	Local number	                 X [m]	                 Y [m]	              N [kN/m]	          N_min [kN/m]	         N_max [kN/m]	              Q [kN/m]	          Q_min [kN/m]	         Q_max [kN/m]	            M [kN m/m]	        M_min [kN m/m]	       M_max [kN m/m]
  Element 9-16 (Plate)	 7671	           2	 7,50000000000000E+000	 8,33333333333334E-002	-1,40367364174908E+001	-1,80101852474275E+001	2,39445532032271E-005	 6,06422129305713E+001	 0,00000000000000E+000	6,06422129305713E+001	 6,75941866036355E+001	-3,41415283992903E+000	6,75941866036355E+001
                (ERSS)	 7672	           3	 7,50000000000000E+000	-3,33333333333333E-001	-1,32604899238015E+001	-2,04180843982727E+001	2,66080676307657E-005	 6,59506346485462E+001	 0,00000000000000E+000	6,59506346485462E+001	 9,41560088649840E+001	-2,35950156741378E+000	9,41560088649840E+001
                      	 7673	           4	 7,50000000000000E+000	-7,50000000000000E-001	-1,12046306341519E+001	-2,25199523450053E+001	2,85939728711756E-005	 6,58578176711031E+001	 0,00000000000000E+000	6,58578176711031E+001	 1,21815981818029E+002	-9,61103409355764E-001	1,21815981818029E+002
                      	 8784	           5	 7,50000000000000E+000	-1,16666666666667E+000	-8,30748868195261E+000	-2,43175618442967E+001	2,98979433280444E-005	 6,06025872887450E+001	 0,00000000000000E+000	6,06025872887450E+001	 1,48326226189863E+002	-9,04579410874160E-004	1,48326226189863E+002
           Plate\_2\_3	 8784	           1	 7,50000000000000E+000	-1,16666666666667E+000	-8,92604509379891E+000	-2,43183617054475E+001	2,99361087458120E-005	 6,14258694233227E+001	 0,00000000000000E+000	6,14258694233227E+001	 1,48326226189863E+002	-9,04579410884547E-004	1,48326226189863E+002
  Element 9-17 (Plate)	 8781	           2	 7,50000000000000E+000	-1,37500000000000E+000	-8,27673525680878E+000	-2,51113742497419E+001	3,03867965107412E-005	 5,88265052549599E+001	 0,00000000000000E+000	5,88265052549599E+001	 1,60848745265727E+002	 0,00000000000000E+000	1,60848745265727E+002
                (ERSS)	 8782	           3	 7,50000000000000E+000	-1,58333333333333E+000	-7,72709601545203E+000	-2,58255215380026E+001	3,07348847787052E-005	 5,65359298745936E+001	 0,00000000000000E+000	5,65359298745936E+001	 1,72855605949034E+002	 0,00000000000000E+000	1,72855605949034E+002
                      	 8783	           4	 7,50000000000000E+000	-1,79166666666667E+000	-7,35650255151471E+000	-2,64577014192231E+001	3,09844988019939E-005	 5,48013508326657E+001	-2,63615610278205E-006	5,48013508326657E+001	 1,84449416931143E+002	 0,00000000000000E+000	1,84449416931143E+002
                      	 8800	           5	 7,50000000000000E+000	-2,00000000000000E+000	-7,24433004678287E+000	-2,70048117423969E+001	3,11397638328973E-005	 5,38699756796182E+001	-1,09463170564201E-005	5,38699756796182E+001	 1,95748346838799E+002	 0,00000000000000E+000	1,95748346838799E+002
           Plate\_1\_4	   66	           1	-7,50000000000000E+000	-2,00000000000000E+000	-5,83437511943590E+000	-2,70017006038316E+001	3,14815377162033E-005	-5,30357642965255E+001	-5,30357642965255E+001	1,66080098747388E-005	-1,97375489600717E+002	-1,97375489600717E+002	0,00000000000000E+000
 Element 10-18 (Plate)	   69	           2	-7,50000000000000E+000	-2,12500000000000E+000	-1,49130401845303E-002	-2,77981545537216E+001	3,23747110471971E-005	-3,81979398613805E+001	-3,81979398613805E+001	6,92001531439694E-005	-2,03095341504470E+002	-2,03095341504470E+002	0,00000000000000E+000
                (ERSS)	   68	           3	-7,50000000000000E+000	-2,25000000000000E+000	 5,33039875197524E+000	-2,85715145181471E+001	5,33039875197524E+000	-2,21506332865208E+001	-2,21506332865208E+001	2,03315784406131E+000	-2,06869732026742E+002	-2,06869732026742E+002	0,00000000000000E+000
                      	   67	           4	-7,50000000000000E+000	-2,37500000000000E+000	 1,03143634361930E+001	-2,93224146327704E+001	1,03143634361930E+001	-5,47514142126443E+000	-5,47514142126443E+000	1,30344055807964E+001	-2,08608119319764E+002	-2,08608119319764E+002	0,00000000000000E+000
                      	   80	           5	-7,50000000000000E+000	-2,50000000000000E+000	 1,50497841916181E+001	-3,00514890332537E+001	1,50497841916181E+001	 1,12472388850706E+001	 0,00000000000000E+000	2,39428124859757E+001	-2,08241439009808E+002	-2,08241439009808E+002	0,00000000000000E+000
           Plate\_2\_4	 8800	           1	 7,50000000000000E+000	-2,00000000000000E+000	-6,13735980871202E+000	-2,70075326141784E+001	3,12405532378770E-005	 5,25449558995300E+001	-1,75836277253386E-005	5,25449558995300E+001	 1,95748346838799E+002	 0,00000000000000E+000	1,95748346838799E+002
 Element 13-21 (Plate)	 8801	           2	 7,50000000000000E+000	-2,12500000000000E+000	-2,24077514084708E-001	-2,78057836489278E+001	3,20838894584596E-005	 3,77607243388917E+001	-7,02239475607264E-005	3,77607243388917E+001	 2,01421393810980E+002	 0,00000000000000E+000	2,01421393810980E+002
                (ERSS)	 8802	           3	 7,50000000000000E+000	-2,25000000000000E+000	 4,97930797140679E+000	-2,85802316196203E+001	4,97930797140679E+000	 2,22061850773453E+001	-2,36928622762137E+000	2,22061850773453E+001	 2,05141110417399E+002	 0,00000000000000E+000	2,05141110417399E+002
                      	 8803	           4	 7,50000000000000E+000	-2,37500000000000E+000	 9,70668228489696E+000	-2,93315108265369E+001	9,70668228489696E+000	 7,93266844642985E+000	-1,31898546972565E+001	7,93266844642985E+000	 2,07027570314734E+002	 0,00000000000000E+000	2,07027570314734E+002
                      	 8804	           5	 7,50000000000000E+000	-2,50000000000000E+000	 1,41919310635203E+001	-3,00602555699591E+001	1,41919310635203E+001	-3,00849522231569E+000	-2,45273856995393E+001	0,00000000000000E+000	 2,07278390102339E+002	 0,00000000000000E+000	2,07278390102339E+002
           Plate\_1\_5	   80	           1	-7,50000000000000E+000	-2,50000000000000E+000	 1,55435445584022E+001	-3,00543947000259E+001	1,55435445584022E+001	 1,07962389180515E+001	 0,00000000000000E+000	2,35461187724082E+001	-2,08241439009808E+002	-2,08241439009808E+002	0,00000000000000E+000
