    Structural element	 Node	Local number	                 X [m]	                 Y [m]	              N [kN/m]	          N_min [kN/m]	         N_max [kN/m]	              Q [kN/m]	          Q_min [kN/m]	         Q_max [kN/m]	            M [kN m/m]	        M_min [kN m/m]	       M_max [kN m/m]
           Plate\_2\_7	10469	           1	 7,50000000000000E+000	-5,00000000000000E+000	 3,28906129023163E+001	-4,15192134043729E+001	3,31856952370481E+001	-4,64464203300361E+001	-4,64464203300361E+001	0,00000000000000E+000	 3,04005702195909E+001	 0,00000000000000E+000	3,04005702195909E+001
 Element 25-33 (Plate)	10470	           2	 7,50000000000000E+000	-5,13750000000000E+000	 3,21562995966491E+001	-4,20390566454479E+001	3,24483689287586E+001	-4,05490285894231E+001	-4,05490285894231E+001	0,00000000000000E+000	 2,44251444841775E+001	 0,00000000000000E+000	2,44251444841775E+001
                (ERSS)	10471	           3	 7,50000000000000E+000	-5,27500000000000E+000	 3,14259755174746E+001	-4,25451206067452E+001	3,17150260800276E+001	-3,50386879245815E+001	-3,50386879245815E+001	0,00000000000000E+000	 1,92322461988587E+001	 0,00000000000000E+000	1,92322461988587E+001
                      	10472	           4	 7,50000000000000E+000	-5,41250000000000E+000	 3,07000355465604E+001	-4,30371184543114E+001	3,09860596188156E+001	-2,99325756891504E+001	-2,99325756891504E+001	0,00000000000000E+000	 1,47687612604004E+001	 0,00000000000000E+000	1,47687612604004E+001
                      	10488	           5	 7,50000000000000E+000	-5,55000000000000E+000	 2,99788745656741E+001	-4,35147633541929E+001	3,02618624730831E+001	-2,52478692367693E+001	-2,52478692367693E+001	0,00000000000000E+000	 1,09810944924190E+001	 0,00000000000000E+000	1,09810944924190E+001
           Plate\_1\_8	  493	           1	-7,50000000000000E+000	-5,55000000000000E+000	 3,06511583023114E+001	-4,35085738601999E+001	3,09242509517787E+001	 2,49459296593882E+001	 0,00000000000000E+000	2,49459296593882E+001	-1,06854621098231E+001	-1,06854621098231E+001	0,00000000000000E+000
 Element 27-49 (Plate)	  496	           2	-7,50000000000000E+000	-5,66250000000000E+000	 3,00465210449425E+001	-4,38891056849801E+001	3,03206086417618E+001	 2,15334227467133E+001	 0,00000000000000E+000	2,15334227467133E+001	-8,07451457944642E+000	-8,07451457944642E+000	0,00000000000000E+000
                (ERSS)	  495	           3	-7,50000000000000E+000	-5,77500000000000E+000	 2,94462174720082E+001	-4,42604151686202E+001	2,97211072853400E+001	 1,84357516037468E+001	 0,00000000000000E+000	1,84357516037468E+001	-5,82875085774639E+000	-5,82877953590296E+000	0,00000000000000E+000
                      	  494	           4	-7,50000000000000E+000	-5,88750000000000E+000	 2,88506954979613E+001	-4,46222313479922E+001	2,91261949713187E+001	 1,56519580938965E+001	 0,00000000000000E+000	1,56519580938965E+001	-3,91374774264105E+000	-3,91470037154796E+000	0,00000000000000E+000
                      	  881	           5	-7,50000000000000E+000	-6,00000000000000E+000	 2,82604030372548E+001	-4,49742832599681E+001	2,85363197885031E+001	 1,31810840805705E+001	 0,00000000000000E+000	1,31810840805705E+001	-2,29522312780192E+000	-2,29693849009259E+000	0,00000000000000E+000
